timestamp,controller_mode,load_pattern,trial_num,elapsed_sec,queue_length,cpu_util,container_mem_pct,io_write_ops,indexing_time_rate,os_cpu_percent,os_mem_used_percent,batch_size,poll_interval_ms,inv_poll_interval,messages_consumed,messages_indexed,cycle_duration_ms,avg_latency_ms,injection_rate,total_injected
2026-04-23T01:32:00.813323,rule_based,step,1,31.2,586,44.93412103256201,72.89161682128906,41.266029519699806,31.17877785932874,20,78,303,200,5.0,183,303,522.6430892944336,640.1391188118776,0,27700
2026-04-23T01:32:01.876629,rule_based,step,1,32.3,586,66.47721230142571,72.91431427001953,24.00565999773706,0.0,36,78,253,200,5.0,0,183,517.2717571258545,1061.0643224043756,0,27700
2026-04-23T01:32:02.958183,rule_based,step,1,33.3,586,4.72616804737995,72.91431427001953,0.0,0.0,2,78,203,200,5.0,0,183,515.8352851867676,1061.0643224043756,0,27700
2026-04-23T01:32:04.027385,rule_based,step,1,34.4,586,1.8632701397062565,72.87769317626953,0.0,0.0,1,78,203,200,5.0,0,183,514.6656036376953,1061.0643224043756,0,27700
2026-04-23T01:32:05.094895,rule_based,step,1,35.5,0,2.8124033599771843,72.90210723876953,0.0,0.0,1,78,203,200,5.0,0,183,517.4729824066162,1061.0643224043756,0,27700
2026-04-23T01:32:06.182753,rule_based,step,1,36.5,0,1.8405192046935543,72.88951873779297,15.644413239895211,0.0,1,78,203,200,5.0,0,183,513.831615447998,1061.0643224043756,0,27700
2026-04-23T01:32:07.248786,rule_based,step,1,37.6,0,1.8434451025885912,72.88951873779297,4.608612756471478,0.0,1,78,203,200,5.0,0,183,519.1171169281006,1061.0643224043756,0,27700
2026-04-23T01:32:08.291856,rule_based,step,1,38.7,0,2.8623913316457172,72.87673950195312,39.11934819915813,0.0,1,78,203,200,5.0,0,183,518.4264183044434,1061.0643224043756,0,27700
2026-04-23T01:32:09.381725,rule_based,step,1,39.7,0,2.8150528863610482,72.90153503417969,0.0,0.0,1,78,203,200,5.0,0,183,515.0039196014404,1061.0643224043756,0,27700
2026-04-23T01:32:24.300453,pid,step,1,0.0,0,0.0,72.87464141845703,1.6421307157197758,0.0,0,78,203,200,5.0,0,183,525.5744457244873,1061.0643224043756,1000,100
2026-04-23T01:32:25.372874,pid,step,1,1.1,300,0.9195482131495949,72.8738784790039,39.540573165432576,10.115030344645543,1,78,209,197,5.0761421319796955,209,183,26.535987854003906,1061.0643224043756,1000,1100
2026-04-23T01:32:26.453166,pid,step,1,2.2,1300,23.73574176117078,72.86529541015625,51.26920220412888,31.33117912474543,13,77,193,1099,0.9099181073703366,193,238,21.492958068847656,827.5290294117681,1000,2100
2026-04-23T01:32:27.547321,pid,step,1,3.2,2564,12.715274373290416,72.8738784790039,44.503460306516466,68.11754128548438,8,78,401,159,6.289308176100629,401,382,50.16922950744629,1081.1847984293197,1000,3100
