timestamp,controller_mode,load_pattern,trial_num,elapsed_sec,queue_length,cpu_util,container_mem_pct,io_write_ops,indexing_time_rate,os_cpu_percent,os_mem_used_percent,batch_size,poll_interval_ms,inv_poll_interval,messages_consumed,messages_indexed,cycle_duration_ms,avg_latency_ms,injection_rate,total_injected
2026-04-22T23:41:41.581993,rule_based,step,1,7.4,3259,27.583767607965438,84.36393737792969,225.42596286509684,6.658150801922692,25,87,3,200,5.0,3,3,14.627218246459961,3082.4449999999997,1000,6900
2026-04-22T23:41:42.650709,rule_based,step,1,8.4,4259,71.7999071550315,84.27734375,55.73940160719551,7.557884963687527,77,87,3,200,5.0,3,3,11.240005493164062,4085.2019999999998,1000,7900
2026-04-22T23:41:43.692100,rule_based,step,1,9.5,5159,14.242138189661377,84.29069519042969,53.17064924140248,8.545282913796827,12,87,53,200,5.0,53,53,15.499114990234375,5282.386999999994,1000,8800
2026-04-22T23:41:44.762890,rule_based,step,1,10.5,5458,16.969941742824172,84.29069519042969,59.3947960998846,32.05433440311232,18,87,203,200,5.0,203,153,38.97285461425781,5774.513071895439,1000,9800
2026-04-22T23:41:45.819560,rule_based,step,1,11.6,6458,23.68324170152831,84.48715209960938,53.05046141142342,63.47108776009588,28,87,403,200,5.0,403,353,12.858867645263672,5476.275252124639,1000,10800
2026-04-22T23:41:46.874043,rule_based,step,1,12.7,7458,46.603999164433304,84.48715209960938,76.43055862967061,115.57791792779459,45,88,603,200,5.0,603,553,34.767866134643555,4043.8433761302176,1000,11700
2026-04-22T23:41:47.931493,rule_based,step,1,13.7,8358,64.53096928136259,84.33685302734375,144.47231928663265,200.33494941079726,68,88,803,200,5.0,803,753,29.73651885986328,1583.802245683951,1000,12700
2026-04-22T23:41:48.985903,rule_based,step,1,14.8,0,10.429921990362505,84.32769775390625,38.875163782260245,36.03063960307047,10,88,853,200,5.0,653,803,616.981029510498,921.3343188044846,1000,13700
2026-04-22T23:41:50.038596,rule_based,step,1,15.8,943,14.959658617085331,84.32769775390625,41.139061196984656,60.77361313190915,19,88,853,200,5.0,448,498,492.2647476196289,766.953104417678,1000,14700
2026-04-22T23:41:51.110079,rule_based,step,1,16.9,1830,57.034282679981864,84.3719482421875,32.31942685198972,50.38028303398398,60,89,853,200,5.0,402,52,501.68824195861816,1010.8863846153854,1000,15600
2026-04-22T23:41:52.165785,rule_based,step,1,18.0,2900,17.97252918751274,84.33189392089844,41.620593907924246,69.05234898360159,18,88,803,200,5.0,500,504,492.595911026001,1272.886861111123,1000,16600
2026-04-22T23:41:53.239291,rule_based,step,1,19.0,3900,13.98603276509236,84.33189392089844,96.03742498696755,77.38938130017773,19,88,803,200,5.0,504,492,486.1886501312256,1209.0598292682896,1000,17600
2026-04-22T23:41:54.292040,rule_based,step,1,20.1,500,28.07480001892045,84.35516357421875,36.49724002459658,65.50786671081437,37,88,803,200,5.0,503,495,491.58453941345215,1149.9914242424338,1000,18600
2026-04-22T23:41:55.335116,rule_based,step,1,21.2,1400,15.474663297586433,84.2864990234375,38.68665824396608,57.06282090984997,18,88,753,200,5.0,500,495,451.1444568634033,1088.9252848484875,1000,19500
2026-04-22T23:41:56.369562,rule_based,step,1,22.2,2400,14.288693354978685,84.2864990234375,32.38770493795168,53.344455191920424,19,88,753,200,5.0,502,403,493.45946311950684,1080.3060794044745,1000,20500
2026-04-22T23:41:57.415494,rule_based,step,1,23.2,3400,13.48006831830453,84.29145812988281,86.6575820462434,60.66030743237039,13,88,753,200,5.0,501,498,494.2758083343506,1059.4899116465874,1000,21400
2026-04-22T23:41:58.472071,rule_based,step,1,24.3,4300,25.8862202521368,84.29489135742188,39.30870482731884,48.89619380959173,31,88,753,200,5.0,498,500,492.76161193847656,992.083261999996,1000,22400
2026-04-22T23:41:59.524486,rule_based,step,1,25.3,500,9.499842586741499,84.29489135742188,32.2994647949211,40.84932312298845,13,88,703,200,5.0,502,402,500.124454498291,975.0827363184055,1000,23400
2026-04-22T23:42:00.565069,rule_based,step,1,26.4,1500,14.230035797560465,84.32655334472656,36.99809307365721,54.07413603072976,13,88,703,200,5.0,500,498,491.96767807006836,965.8862248996018,1000,24300
2026-04-22T23:42:01.631594,rule_based,step,1,27.4,2400,33.27256206450361,84.3414306640625,32.32191743408922,51.334810042377,32,89,703,200,5.0,402,500,492.5723075866699,908.1269660000015,1000,25300
2026-04-22T23:42:02.674706,rule_based,step,1,28.5,3400,12.37639752680655,84.3414306640625,35.22513142244941,46.649498370270834,14,89,653,200,5.0,507,497,488.112211227417,949.3533863179123,1000,26300
2026-04-22T23:42:03.730658,rule_based,step,1,29.5,4400,12.228406726414557,84.32884216308594,39.507160193031645,47.97298023439557,13,89,653,200,5.0,494,499,496.0014820098877,877.2109178356702,1000,27300
2026-04-22T23:42:04.790484,rule_based,step,1,30.6,500,13.381460195342946,84.32884216308594,36.321106244502275,41.10019917141047,13,89,653,200,5.0,397,507,490.94605445861816,818.8675700197174,0,27700
