C:\Users\DELL\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.9_qbz5n2kfra8p0\LocalCache\local-packages\Python39\site-packages\requests\__init__.py:89: RequestsDependencyWarning: urllib3 (2.6.3) or chardet (3.0.4) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
2026-02-16 22:12:27,220 - sysid-experiment - INFO -   Sample 30: queue=2400, cpu=0.0%, mem=19.1%, io=0
2026-02-16 22:12:37,726 - sysid-experiment - INFO -   Sample 40: queue=3150, cpu=0.0%, mem=19.2%, io=0
2026-02-16 22:12:48,162 - sysid-experiment - INFO -   Sample 50: queue=3900, cpu=0.7%, mem=19.2%, io=46285
2026-02-16 22:12:53,321 - sysid-experiment - INFO -   Collected 54 samples
2026-02-16 22:12:53,321 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:13:03,861 - sysid-experiment - INFO - Step 2/400: batch_size=10, poll_interval=100ms
2026-02-16 22:13:13,288 - sysid-experiment - INFO -   Sample 10: queue=5400, cpu=3.2%, mem=19.2%, io=196841
2026-02-16 22:13:23,777 - sysid-experiment - INFO -   Sample 20: queue=6150, cpu=3.4%, mem=19.2%, io=281516
2026-02-16 22:13:34,191 - sysid-experiment - INFO -   Sample 30: queue=6900, cpu=1.3%, mem=19.2%, io=15816
2026-02-16 22:13:44,639 - sysid-experiment - INFO -   Sample 40: queue=7633, cpu=4.1%, mem=19.2%, io=284248
2026-02-16 22:13:55,169 - sysid-experiment - INFO -   Sample 50: queue=8250, cpu=0.6%, mem=19.2%, io=0
2026-02-16 22:14:04,531 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:14:04,531 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:14:14,962 - sysid-experiment - INFO - Step 3/400: batch_size=10, poll_interval=150ms
2026-02-16 22:14:24,378 - sysid-experiment - INFO -   Sample 10: queue=10200, cpu=13.0%, mem=19.2%, io=130159
2026-02-16 22:14:34,844 - sysid-experiment - INFO -   Sample 20: queue=10800, cpu=0.0%, mem=19.2%, io=0
2026-02-16 22:14:45,364 - sysid-experiment - INFO -   Sample 30: queue=11550, cpu=0.0%, mem=19.2%, io=0
2026-02-16 22:14:55,866 - sysid-experiment - INFO -   Sample 40: queue=12300, cpu=5.0%, mem=19.2%, io=124290
2026-02-16 22:15:06,384 - sysid-experiment - INFO -   Sample 50: queue=13050, cpu=4.2%, mem=19.2%, io=27537
2026-02-16 22:15:15,776 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:15:15,776 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:15:26,271 - sysid-experiment - INFO - Step 4/400: batch_size=10, poll_interval=200ms
2026-02-16 22:15:35,760 - sysid-experiment - INFO -   Sample 10: queue=16350, cpu=7.5%, mem=19.2%, io=245392
2026-02-16 22:15:46,225 - sysid-experiment - INFO -   Sample 20: queue=17850, cpu=0.0%, mem=19.2%, io=0
2026-02-16 22:15:56,719 - sysid-experiment - INFO -   Sample 30: queue=19500, cpu=10.6%, mem=19.2%, io=6387513
2026-02-16 22:16:07,250 - sysid-experiment - INFO -   Sample 40: queue=21150, cpu=0.0%, mem=19.2%, io=0
2026-02-16 22:16:17,731 - sysid-experiment - INFO -   Sample 50: queue=22561, cpu=11.2%, mem=19.2%, io=560307
2026-02-16 22:16:27,143 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:16:27,144 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:16:37,600 - sysid-experiment - INFO - Step 5/400: batch_size=10, poll_interval=250ms
2026-02-16 22:16:47,082 - sysid-experiment - INFO -   Sample 10: queue=27000, cpu=10.2%, mem=19.2%, io=278236
2026-02-16 22:16:57,559 - sysid-experiment - INFO -   Sample 20: queue=28500, cpu=2.4%, mem=19.2%, io=62752
2026-02-16 22:17:07,992 - sysid-experiment - INFO -   Sample 30: queue=30105, cpu=6.5%, mem=19.2%, io=505998
2026-02-16 22:17:18,388 - sysid-experiment - INFO -   Sample 40: queue=31650, cpu=8.7%, mem=19.2%, io=558449
2026-02-16 22:17:28,852 - sysid-experiment - INFO -   Sample 50: queue=33150, cpu=0.0%, mem=19.2%, io=0
2026-02-16 22:17:38,269 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:17:38,269 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:17:48,729 - sysid-experiment - INFO - Step 6/400: batch_size=10, poll_interval=300ms
2026-02-16 22:17:58,173 - sysid-experiment - INFO -   Sample 10: queue=37350, cpu=10.4%, mem=19.2%, io=4388119
2026-02-16 22:18:08,692 - sysid-experiment - INFO -   Sample 20: queue=39150, cpu=0.0%, mem=19.2%, io=0
2026-02-16 22:18:19,132 - sysid-experiment - INFO -   Sample 30: queue=40500, cpu=0.0%, mem=19.2%, io=0
2026-02-16 22:18:29,687 - sysid-experiment - INFO -   Sample 40: queue=42150, cpu=4.0%, mem=19.2%, io=281364
2026-02-16 22:18:40,153 - sysid-experiment - INFO -   Sample 50: queue=43800, cpu=6.7%, mem=19.3%, io=507320
2026-02-16 22:18:49,607 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:18:49,607 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:19:00,100 - sysid-experiment - INFO - Step 7/400: batch_size=10, poll_interval=350ms
2026-02-16 22:19:09,597 - sysid-experiment - INFO -   Sample 10: queue=48150, cpu=0.0%, mem=19.3%, io=0
2026-02-16 22:19:20,235 - sysid-experiment - INFO -   Sample 20: queue=49800, cpu=5.5%, mem=19.3%, io=296584
2026-02-16 22:19:30,675 - sysid-experiment - INFO -   Sample 30: queue=51150, cpu=0.0%, mem=19.3%, io=0
2026-02-16 22:19:41,234 - sysid-experiment - INFO -   Sample 40: queue=52800, cpu=6.3%, mem=19.3%, io=278278
2026-02-16 22:19:51,783 - sysid-experiment - INFO -   Sample 50: queue=54300, cpu=0.0%, mem=19.3%, io=0
2026-02-16 22:20:01,155 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:20:01,155 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:20:11,599 - sysid-experiment - INFO - Step 8/400: batch_size=10, poll_interval=400ms
2026-02-16 22:20:21,115 - sysid-experiment - INFO -   Sample 10: queue=58650, cpu=3.7%, mem=19.3%, io=281438
2026-02-16 22:20:31,566 - sysid-experiment - INFO -   Sample 20: queue=60300, cpu=6.4%, mem=19.3%, io=561659
2026-02-16 22:20:42,088 - sysid-experiment - INFO -   Sample 30: queue=61950, cpu=6.3%, mem=19.3%, io=4183106
2026-02-16 22:20:52,538 - sysid-experiment - INFO -   Sample 40: queue=63300, cpu=5.9%, mem=19.3%, io=388872
2026-02-16 22:21:03,105 - sysid-experiment - INFO -   Sample 50: queue=64950, cpu=6.8%, mem=19.3%, io=603701
2026-02-16 22:21:12,465 - sysid-experiment - INFO -   Collected 58 samples
2026-02-16 22:21:12,465 - sysid-experiment - INFO -   Settling for 10s...
2026-02-16 22:21:23,010 - sysid-experiment - INFO - Step 9/400: batch_size=10, poll_interval=450ms
2026-02-16 22:21:32,382 - sysid-experiment - INFO -   Sample 10: queue=69244, cpu=5.6%, mem=19.5%, io=272630
2026-02-16 22:21:42,865 - sysid-experiment - INFO -   Sample 20: queue=70800, cpu=4.4%, mem=19.5%, io=327060
