timestamp,phase,queue_length,cpu_util,mem_util,io_ops,batch_size,poll_interval
2026-02-16T15:52:09.016584,vary_both_settle,341850,4.088147319777852,20.064315784083078,321133.69040941005,115,700
2026-02-16T15:52:10.087391,vary_both_settle,341905,19.214974656031305,19.884646210742783,2673745.28501914,115,700
2026-02-16T15:52:11.137539,vary_both_settle,342150,3.414480919078681,19.88411147986975,308113.6855887048,115,700
2026-02-16T15:52:12.206877,vary_both_settle,342300,4.179985900452192,19.886270969933932,84392.17833509728,115,700
2026-02-16T15:52:13.268560,vary_both_settle,342450,2.7607888016183213,19.886188703645775,207543.6224651373,115,700
2026-02-16T15:52:14.315148,vary_both_settle,342600,0.0,19.886188703645775,0.0,115,700
2026-02-16T15:52:15.354120,vary_both_settle,342750,3.0439825683874013,19.887463831112246,145474.89215240674,115,700
2026-02-16T15:52:16.412655,vary_both,343050,2.56717762224128,19.888389326854043,135303.66068382762,115,750
2026-02-16T15:52:17.473940,vary_both,343200,6.532495810079708,19.89636915680551,294457.3360807928,115,750
2026-02-16T15:52:18.498682,vary_both,343234,0.0,19.89636915680551,0.0,115,750
2026-02-16T15:52:19.566659,vary_both,343350,3.788276013438955,19.89307850527913,293006.10194296873,115,750
2026-02-16T15:52:20.632999,vary_both,343500,3.019583646893624,19.898322981149295,126289.61629485711,115,750
2026-02-16T15:52:21.680168,vary_both,343650,0.0,19.898322981149295,0.0,115,750
2026-02-16T15:52:22.742514,vary_both,343950,6.379664467139751,19.895464227635756,154371.188114586,115,750
2026-02-16T15:52:23.806856,vary_both,344100,3.985398910185628,19.899721508048007,276909.5616299499,115,750
2026-02-16T15:52:24.843148,vary_both,344100,0.0,19.899721508048007,0.0,115,750
2026-02-16T15:52:25.897505,vary_both,344250,2.3575534852269655,19.898343547721336,155483.32158526318,115,750
2026-02-16T15:52:26.957089,vary_both,344550,2.7079497334055986,19.901819298396077,151118.0679907924,115,750
2026-02-16T15:52:28.000703,vary_both,344700,5.543643351125969,19.901593066103636,129272.09117840204,115,750
2026-02-16T15:52:29.050378,vary_both,344700,0.3876611326093212,19.901572499531596,0.0,115,750
2026-02-16T15:52:30.097931,vary_both,344850,0.0,19.901572499531596,0.0,115,750
2026-02-16T15:52:31.129462,vary_both,345150,2.1598549641784714,19.90255969498951,158334.2263187496,115,750
2026-02-16T15:52:32.167421,vary_both,345300,11.401812493715452,19.906056012236288,359438.2623893085,115,750
2026-02-16T15:52:33.233931,vary_both,345450,0.0,19.906056012236288,0.0,115,750
2026-02-16T15:52:34.315516,vary_both,345600,3.5154136614416203,19.905932612804047,216059.83854365125,115,750
2026-02-16T15:52:35.362160,vary_both,345750,3.4582835235813034,19.907886437147837,121026.64699550164,115,750
2026-02-16T15:52:36.402897,vary_both,345973,2.434505122124211,19.90885306603371,169106.55481445958,115,750
2026-02-16T15:52:37.447394,vary_both,346050,3.4716266518807712,19.91187635212357,286318.2099147116,115,750
2026-02-16T15:52:38.504450,vary_both,346200,0.0,19.91187635212357,0.0,115,750
2026-02-16T15:52:39.540518,vary_both,346350,5.5552059429134,19.917388193430256,142103.87636813475,115,750
2026-02-16T15:52:40.606478,vary_both,346500,4.492050876070253,19.916359864828262,4482474.87100156,115,750
2026-02-16T15:52:41.647790,vary_both,346650,8.863896845698433,19.917017995133538,137602.15749376803,115,750
2026-02-16T15:52:42.703495,vary_both,346800,0.0,19.917017995133538,0.0,115,750
2026-02-16T15:52:43.742827,vary_both,347100,2.390752464436491,19.917449893146376,157784.18241937435,115,750
2026-02-16T15:52:44.802503,vary_both,347250,2.9789663545172735,19.919115785481605,281767.35816028196,115,750
2026-02-16T15:52:45.840224,vary_both,347400,3.2528884938578555,19.91991788179116,153956.4074487509,115,750
2026-02-16T15:52:46.905250,vary_both,347525,0.0,19.91991788179116,0.0,115,750
2026-02-16T15:52:47.967732,vary_both,347550,6.66713923408285,19.928350176327505,292703.88143259386,115,750
2026-02-16T15:52:49.023714,vary_both,347700,3.285667231174004,19.926745983708397,155438.69180787524,115,750
2026-02-16T15:52:50.060014,vary_both,347850,2.391901964329109,19.92637578541168,157969.12667602106,115,750
2026-02-16T15:52:51.114023,vary_both,348150,0.0,19.92637578541168,0.0,115,750
2026-02-16T15:52:52.139759,vary_both,348300,10.539850189058262,19.928720374624223,406395.9110484425,115,750
2026-02-16T15:52:53.185859,vary_both,348320,0.0,19.928720374624223,0.0,115,750
2026-02-16T15:52:54.230364,vary_both,348450,2.542395751311161,19.929769269798257,180051.75546877083,115,750
2026-02-16T15:52:55.298271,vary_both,348750,0.0,19.929769269798257,0.0,115,750
2026-02-16T15:52:56.317052,vary_both,348900,4.148602824064951,19.93194932643448,292372.78978601424,115,750
2026-02-16T15:52:57.382351,vary_both,349050,8.002016857641273,19.93194932643448,292757.5012245782,115,750
2026-02-16T15:52:58.440277,vary_both,349200,0.0,19.93194932643448,0.0,115,750
2026-02-16T15:52:59.488523,vary_both,349324,4.360889202291437,19.933347853333196,152357.79777749025,115,750
2026-02-16T15:53:00.559726,vary_both,349360,0.0,19.933347853333196,0.0,115,750
2026-02-16T15:53:01.621382,vary_both,349650,4.770458950637744,19.93561017625758,374850.82216685696,115,750
