timestamp,phase,queue_length,cpu_util,mem_util,avg_latency_ms,io_write_ops,os_cpu_percent,os_mem_used_percent,gc_time_rate,write_queue_size,container_mem_pct,batch_size,poll_interval,queue_exhausted
2026-04-20T11:47:28.909951,vary_both_settle,405190,103.42147786706263,43,101946.61113555575,53.036655316442385,100,89,4.419721276370199,0,83.6700439453125,2036,604,False
2026-04-20T11:47:30.069595,vary_both_settle,405190,96.45291278272708,66,102533.70800000246,43.05933606371745,100,90,5.167120327646094,0,83.67576599121094,2036,604,False
2026-04-20T11:47:31.186689,vary_both_settle,405190,91.02195110223579,73,104530.01199999644,146.34901941928106,86,90,5.354232417778576,0,83.67576599121094,2036,604,False
2026-04-20T11:47:32.306303,vary_both_settle,386866,92.6391822069615,69,105602.8700000029,79.27776169634205,94,92,43.64730700135686,0,83.77037048339844,2036,604,False
2026-04-20T11:47:33.462289,vary_both_settle,386866,97.69183878537662,41,105908.07256777634,110.65978198697529,94,92,12.967943201598667,0,83.76388549804688,2036,604,False
2026-04-20T11:47:34.586558,vary_both_settle,386866,89.62576795531942,75,107262.03258939412,50.19043005497888,100,93,43.02036861855333,0,83.81767272949219,2036,604,False
2026-04-20T11:47:35.722237,vary_both_settle,386866,104.87643809970069,56,108508.46035363259,111.92695494673939,100,92,8.813146058798377,0,83.81767272949219,2036,604,False
2026-04-20T11:48:23.302995,vary_both,459563,0.0,30,108954.17300000109,0.0,1,91,0.0,0,83.24432373046875,2036,646,False
2026-04-20T11:48:24.504236,vary_both,471421,29.277781312281075,44,109750.64472691885,13.384128599899922,33,91,0.0,0,83.18252563476562,2036,646,False
2026-04-20T11:48:25.672005,vary_both,485967,86.89676318860798,32,43176.09900000129,55.375388306465865,85,92,5.111574305212233,0,83.18252563476562,2036,646,False
2026-04-20T11:48:26.840681,vary_both,497209,80.10918187731005,68,44521.35208054917,375.56562686566855,78,92,0.0,0,83.1817626953125,2036,646,False
2026-04-20T11:48:27.988249,vary_both,510901,85.17790514501026,44,45606.84600000075,193.35384467917328,99,86,5.110674308700616,0,83.07838439941406,2036,646,False
2026-04-20T11:48:29.171687,vary_both,508291,86.90151026529975,25,45606.84600000075,27.808483284895917,91,87,7.821135923876977,0,83.09326171875,2036,646,False
2026-04-20T11:48:30.336516,vary_both,526071,106.51378366759492,24,48194.56800000242,46.49411191839461,100,88,5.917432425977496,0,83.09326171875,2036,646,False
2026-04-20T11:48:31.462502,vary_both,546287,106.14886207215825,53,48194.56800000242,36.24595290268819,94,88,6.040992150448031,0,83.08448791503906,2036,646,False
2026-04-20T11:48:32.595487,vary_both,551018,93.67299965572879,44,50005.48356385238,170.55555597694016,96,89,60.09211298669394,0,83.08448791503906,2036,646,False
2026-04-20T11:48:33.709531,vary_both,551018,91.27136514817605,59,51469.83599999912,81.42837478905902,92,90,5.36890383224565,0,83.10432434082031,2036,646,False
2026-04-20T11:48:34.854971,vary_both,534730,93.47261323820807,25,52295.699915521946,44.938756364523115,94,90,13.481626909356933,0,83.14552307128906,2036,646,False
